type,seconds,round,chunk_distance,name,t,c,z,y,x
TIFF,0.07899187,54,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,1
TIFF,0.08112887,55,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,3
TIFF,0.08942158,56,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,6
TIFF,0.09014203,57,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,6
TIFF,0.11777101000000001,58,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,6
TIFF,0.07177792,59,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,2
TIFF,0.0863715,60,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,1
TIFF,0.08302492,61,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,6
TIFF,0.07230503,62,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,6
TIFF,0.07428969,63,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,2
TIFF,0.08093823,64,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,7
TIFF,0.09664018,65,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,5
TIFF,0.06943228,66,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,7
TIFF,0.05885975,67,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,1
TIFF,0.07004772000000001,68,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,7
TIFF,0.1089077,69,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,3
TIFF,0.08011314,70,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,3
TIFF,0.10773351,71,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,5
TIFF,0.09310703000000001,72,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,3
TIFF,0.10099998,73,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,3
TIFF,0.06859311,74,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,2
TIFF,0.06450458,75,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,3
TIFF,0.0760379,76,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,3
TIFF,0.11153218000000001,77,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,6
TIFF,0.09601566,78,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,4,6
TIFF,0.06343192,79,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,4
TIFF,0.10941643000000001,80,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,7
TIFF,0.07523721,81,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,3
TIFF,0.06224495,82,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,3
TIFF,0.0587162,83,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,6
TIFF,0.09548345,84,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,5
TIFF,0.10439161,85,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,1,4
TIFF,0.08247752,86,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,1,6
TIFF,0.10022208,87,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,6
TIFF,0.05818857,88,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,4
TIFF,0.10629665,89,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,1
TIFF,0.10927902,90,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,5
TIFF,0.0610713,91,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,3
TIFF,0.08789401000000001,92,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,4
TIFF,0.10877355,93,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,1
TIFF,0.06348632,94,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,3
TIFF,0.07072612,95,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,3
TIFF,0.06236179,96,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,2
TIFF,0.08181541,97,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,6
TIFF,0.10841835,98,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,2
TIFF,0.08506533000000001,99,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,1
Indexed-TIFF,0.04108067,0,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,4
Indexed-TIFF,0.08007913,1,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,2
Indexed-TIFF,0.08546795,2,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,1
Indexed-TIFF,0.0798303,3,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,2
Indexed-TIFF,0.07996566000000001,4,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,5
Indexed-TIFF,0.07853066,5,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,2
Indexed-TIFF,0.07998506,6,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,6
Indexed-TIFF,0.04463722,7,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,5
Indexed-TIFF,0.07942609,8,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,6
Indexed-TIFF,0.08423058,9,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,6
Indexed-TIFF,0.08007306,10,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,5
Indexed-TIFF,0.06453628,11,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,1
Indexed-TIFF,0.07278886,12,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,5
Indexed-TIFF,0.07862388000000001,13,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,3
Indexed-TIFF,0.08022858000000001,14,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,5
Indexed-TIFF,0.06094542,15,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,4
Indexed-TIFF,0.08007435,16,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,3
Indexed-TIFF,0.049309320000000004,17,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,1,5
Indexed-TIFF,0.0694167,18,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,7
Indexed-TIFF,0.07710602,19,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,6
Indexed-TIFF,0.07918913,20,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,4,4
Indexed-TIFF,0.06436166,21,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,2
Indexed-TIFF,0.07104374000000001,22,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,7
Indexed-TIFF,0.07867887,23,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,4
Indexed-TIFF,0.08329678,24,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,3
Indexed-TIFF,0.07780407,25,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,4
Indexed-TIFF,0.07917332,26,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,1,6
Indexed-TIFF,0.0871379,27,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,1
Indexed-TIFF,0.0791448,28,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,3
Indexed-TIFF,0.06327156,29,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,2
Indexed-TIFF,0.05495582,30,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,6
Indexed-TIFF,0.05729641,31,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,5
Indexed-TIFF,0.07167292,32,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,7
Indexed-TIFF,0.04090147,33,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,4
Indexed-TIFF,0.06963653,34,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,6
