type,seconds,round,name,t,c,z,y,x
TIFF,3.8277937,76,XY-1920-Z-259-C-4-T-1-XC-256,1,2,23,5,3
TIFF,7.7388851800000005,77,XY-1920-Z-259-C-4-T-1-XC-256,1,3,60,3,4
TIFF,5.68101136,78,XY-1920-Z-259-C-4-T-1-XC-256,1,2,143,4,7
TIFF,6.00434863,79,XY-1920-Z-259-C-4-T-1-XC-256,1,2,168,6,5
TIFF,0.06288719,80,XY-1920-Z-259-C-4-T-1-XC-256,1,3,75,7,1
TIFF,6.61264041,81,XY-1920-Z-259-C-4-T-1-XC-256,1,2,210,4,3
TIFF,5.13518871,82,XY-1920-Z-259-C-4-T-1-XC-256,1,2,112,7,5
TIFF,6.8533388,83,XY-1920-Z-259-C-4-T-1-XC-256,1,2,241,6,6
TIFF,7.1367908,84,XY-1920-Z-259-C-4-T-1-XC-256,1,3,11,1,5
TIFF,2.29406762,85,XY-1920-Z-259-C-4-T-1-XC-256,1,4,116,7,1
TIFF,2.35538761,86,XY-1920-Z-259-C-4-T-1-XC-256,1,1,158,7,2
TIFF,8.70054737,87,XY-1920-Z-259-C-4-T-1-XC-256,1,3,110,3,4
TIFF,0.28601728,88,XY-1920-Z-259-C-4-T-1-XC-256,1,1,9,7,3
TIFF,9.54372074,89,XY-1920-Z-259-C-4-T-1-XC-256,1,3,170,6,2
TIFF,0.29399977,90,XY-1920-Z-259-C-4-T-1-XC-256,1,1,9,7,6
TIFF,3.5740982,91,XY-1920-Z-259-C-4-T-1-XC-256,1,4,212,2,2
TIFF,1.69598176,92,XY-1920-Z-259-C-4-T-1-XC-256,1,4,21,5,2
TIFF,7.3525542800000006,93,XY-1920-Z-259-C-4-T-1-XC-256,1,3,26,7,2
TIFF,6.84644224,94,XY-1920-Z-259-C-4-T-1-XC-256,1,3,4,1,4
TIFF,5.58632709,95,XY-1920-Z-259-C-4-T-1-XC-256,1,2,155,2,6
TIFF,0.9911005,96,XY-1920-Z-259-C-4-T-1-XC-256,1,4,12,4,7
TIFF,0.9985968900000001,97,XY-1920-Z-259-C-4-T-1-XC-256,1,1,63,1,1
TIFF,6.80377046,98,XY-1920-Z-259-C-4-T-1-XC-256,1,2,247,5,7
TIFF,9.89683934,99,XY-1920-Z-259-C-4-T-1-XC-256,1,3,203,7,4
Indexed-TIFF,0.18997989,0,XY-1920-Z-259-C-4-T-1-XC-256,1,4,54,6,4
Indexed-TIFF,0.16228451,1,XY-1920-Z-259-C-4-T-1-XC-256,1,2,140,6,7
Indexed-TIFF,0.2953393,2,XY-1920-Z-259-C-4-T-1-XC-256,1,2,94,5,1
Indexed-TIFF,0.1895569,3,XY-1920-Z-259-C-4-T-1-XC-256,1,3,156,4,5
Indexed-TIFF,0.16589578,4,XY-1920-Z-259-C-4-T-1-XC-256,1,4,140,7,1
Indexed-TIFF,0.16775871,5,XY-1920-Z-259-C-4-T-1-XC-256,1,1,163,7,7
Indexed-TIFF,0.14398302,6,XY-1920-Z-259-C-4-T-1-XC-256,1,3,68,1,2
Indexed-TIFF,0.17859427,7,XY-1920-Z-259-C-4-T-1-XC-256,1,1,168,5,5
Indexed-TIFF,0.17212750000000002,8,XY-1920-Z-259-C-4-T-1-XC-256,1,3,104,1,1
Indexed-TIFF,0.19363733,9,XY-1920-Z-259-C-4-T-1-XC-256,1,3,42,7,3
Indexed-TIFF,0.15993202,10,XY-1920-Z-259-C-4-T-1-XC-256,1,3,96,1,7
Indexed-TIFF,0.18303550000000002,11,XY-1920-Z-259-C-4-T-1-XC-256,1,3,150,6,7
Indexed-TIFF,0.1881364,12,XY-1920-Z-259-C-4-T-1-XC-256,1,4,200,4,4
Indexed-TIFF,0.15365218,13,XY-1920-Z-259-C-4-T-1-XC-256,1,1,27,4,3
Indexed-TIFF,0.17911491000000002,14,XY-1920-Z-259-C-4-T-1-XC-256,1,4,94,5,2
Indexed-TIFF,0.16550384,15,XY-1920-Z-259-C-4-T-1-XC-256,1,4,179,5,7
