type,seconds,round,name,t,c,z,y,x
TIFF,0.08996696,96,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,1,5
TIFF,0.04575309,97,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,1
TIFF,0.10242027000000001,98,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,5
TIFF,0.14908082,99,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,7
Indexed-TIFF,0.07824788,0,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,2
Indexed-TIFF,0.07660847,1,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,6
Indexed-TIFF,0.06822102000000001,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,6
Indexed-TIFF,0.10156335,3,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,4,6
Indexed-TIFF,0.09928104,4,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,6
Indexed-TIFF,0.06249728,5,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,5
Indexed-TIFF,0.07840147,6,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,4
Indexed-TIFF,0.08083362,7,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,2
Indexed-TIFF,0.09593983,8,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,4
Indexed-TIFF,0.12561802,9,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,1
Indexed-TIFF,0.07743678,10,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,1
Indexed-TIFF,0.07760979,11,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,4
Indexed-TIFF,0.07080861000000001,12,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,6
Indexed-TIFF,0.06271956000000001,13,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,3
Indexed-TIFF,0.07704398,14,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,7
Indexed-TIFF,0.07719726,15,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,6
Indexed-TIFF,0.09979933,16,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,5
Indexed-TIFF,0.12178726000000001,17,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,1
Indexed-TIFF,0.07643539,18,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,5
Indexed-TIFF,0.06340971000000001,19,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,7
Indexed-TIFF,0.06922087,20,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,4,4
Indexed-TIFF,0.10171604000000001,21,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,1
Indexed-TIFF,0.11062759,22,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,7
Indexed-TIFF,0.0631295,23,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,4
Indexed-TIFF,0.07840229,24,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,3
Indexed-TIFF,0.07920167,25,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,7
Indexed-TIFF,0.05214309,26,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,5
Indexed-TIFF,0.12648432,27,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,4
Indexed-TIFF,0.13800993,28,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,1,4
Indexed-TIFF,0.054492280000000004,29,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,3
Indexed-TIFF,0.060060960000000004,30,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,3
Indexed-TIFF,0.07628301,31,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,3
Indexed-TIFF,0.07758454000000001,32,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,1
Indexed-TIFF,0.05341712,33,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,2
Indexed-TIFF,0.0765684,34,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,1,4
Indexed-TIFF,0.05774656,35,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,1
Indexed-TIFF,0.08476865,36,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,5
Indexed-TIFF,0.10636122,37,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,7
Indexed-TIFF,0.08433312,38,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,2
Indexed-TIFF,0.05488968,39,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,5
Indexed-TIFF,0.06270396,40,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,6
Indexed-TIFF,0.09801078,41,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,6
Indexed-TIFF,0.09453488,42,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,4
Indexed-TIFF,0.08611108,43,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,7
Indexed-TIFF,0.07852357,44,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,4
Indexed-TIFF,0.08350337000000001,45,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,7
Indexed-TIFF,0.07655707,46,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,3
Indexed-TIFF,0.1038453,47,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,5
Indexed-TIFF,0.07939997,48,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,3
Indexed-TIFF,0.06256248,49,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,5
Indexed-TIFF,0.05330248,50,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,4
Indexed-TIFF,0.08170624,51,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,7
Indexed-TIFF,0.12209232,52,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,7
Indexed-TIFF,0.07704568,53,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,3
Indexed-TIFF,0.07682017000000001,54,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,7,2
Indexed-TIFF,0.08178853,55,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,2
Indexed-TIFF,0.07614671,56,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,7
Indexed-TIFF,0.07685403,57,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,6
Indexed-TIFF,0.09916315,58,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,4
Indexed-TIFF,0.10162276,59,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,1
Indexed-TIFF,0.07423437000000001,60,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,3
Indexed-TIFF,0.07036015,61,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,4
Indexed-TIFF,0.06959931,62,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,4,1
Indexed-TIFF,0.06212379,63,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,1
Indexed-TIFF,0.05403644,64,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,2
Indexed-TIFF,0.06248775,65,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,3
Indexed-TIFF,0.07716504,66,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,2
Indexed-TIFF,0.07891859,67,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,1
Indexed-TIFF,0.09709518,68,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,1
Indexed-TIFF,0.07412916,69,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,2
Indexed-TIFF,0.07423348,70,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,1
Indexed-TIFF,0.08062692,71,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,5,6
Indexed-TIFF,0.05723913,72,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,1
